,AverageTemperature,rolling_mean,rolling_std
1996-09-01,26.636,20.5655,4.830980636381273
1996-10-01,22.726,20.551583333333333,4.823901598165927
1996-11-01,20.638,20.770416666666666,4.757325651672431
1996-12-01,16.502,20.851166666666668,4.667724982810303
1997-01-01,15.611,20.95416666666667,4.523228188188628
1997-02-01,13.963,20.833583333333333,4.7002869246719765
1997-03-01,15.25,20.7505,4.796556444708291
1997-04-01,17.01,20.689083333333333,4.8430039036331545
1997-05-01,21.87,20.6515,4.830923278967762
1997-06-01,24.962,20.697416666666665,4.872345775502854
1997-07-01,27.057,20.77275,4.970367612616331
1997-08-01,26.489,20.726166666666668,4.908441778912082
1997-09-01,25.079,20.596416666666666,4.7562381517393035
1997-10-01,22.944000000000003,20.614583333333332,4.765518925446397
1997-11-01,19.975,20.55933333333333,4.769064751716054
1997-12-01,15.987,20.516416666666668,4.811028437744655
1998-01-01,14.784,20.4475,4.892911709810416
1998-02-01,15.481000000000002,20.574,4.72682663104962
1998-03-01,15.294,20.57766666666667,4.722336215617565
1998-04-01,19.758000000000006,20.80666666666667,4.598610152353997
1998-05-01,21.914,20.810333333333336,4.599552514466298
1998-06-01,24.636,20.783166666666666,4.573692060098272
1998-07-01,26.933000000000003,20.772833333333335,4.558343336092278
1998-08-01,28.463,20.937333333333335,4.811943593966483
1998-09-01,27.023000000000003,21.099333333333337,4.993357593904727
1998-10-01,24.21,21.204833333333337,5.048939669661219
1998-11-01,20.554,21.253083333333336,5.038874936807604
1998-12-01,16.474999999999998,21.293750000000003,4.994282806369696
1999-01-01,14.992,21.311083333333332,4.9699375422878695
1999-02-01,14.997000000000002,21.270750000000003,5.023230817005033
1999-03-01,17.162000000000006,21.426416666666668,4.847031208675962
1999-04-01,18.986,21.362083333333334,4.876224143896086
1999-05-01,22.633000000000003,21.422,4.888025423977919
1999-06-01,25.148000000000003,21.46466666666667,4.920755232746903
1999-07-01,26.99,21.46941666666667,4.926537793297423
1999-08-01,27.91,21.423333333333332,4.857271425087305
1999-09-01,26.685,21.395166666666668,4.822704745327669
1999-10-01,24.334,21.4055,4.829412396028014
1999-11-01,20.827,21.428250000000002,4.825678136518502
1999-12-01,16.868,21.461,4.790209598754522
2000-01-01,13.579,21.34325,4.977392254895213
2000-02-01,14.3,21.285166666666665,5.061537384725083
2000-03-01,15.266000000000002,21.127166666666668,5.228775831585212
2000-04-01,19.556,21.174666666666667,5.210112183983845
2000-05-01,21.828000000000003,21.107583333333334,5.194788165395512
2000-06-01,24.619,21.0635,5.159508653491578
2000-07-01,27.091,21.071916666666667,5.170126857215101
2000-08-01,26.93,20.99025,5.058836124230365
2000-09-01,25.939,20.928083333333333,4.986560345903101
2000-10-01,22.842,20.803749999999997,4.911960618086862
2000-11-01,20.524,20.778499999999998,4.912608980979446
2000-12-01,16.46,20.7445,4.943448897278083
2001-01-01,15.312,20.888916666666667,4.736050799373074
2001-02-01,15.403,20.980833333333333,4.605451548946844
2001-03-01,18.834,21.278166666666667,4.308561367858881
2001-04-01,19.709000000000003,21.290916666666668,4.303224868067139
2001-05-01,22.533,21.349666666666668,4.316017531629508
2001-06-01,24.652,21.35241666666667,4.318299906599039
2001-07-01,27.094,21.352666666666668,4.318662405154739
2001-08-01,28.246,21.462333333333333,4.486610085644395
2001-09-01,26.963,21.547666666666668,4.588085148875649
2001-10-01,23.599,21.61075,4.612637721521165
2001-11-01,19.744,21.54575,4.634786689707615
2001-12-01,15.366,21.454583333333336,4.753165881969101
2002-01-01,13.399,21.295166666666667,5.003404056391518
2002-02-01,15.941,21.34,4.947909806630007
2002-03-01,17.495,21.228416666666668,5.024073907576183
2002-04-01,18.956000000000003,21.165666666666667,5.049414949608842
2002-05-01,21.926,21.115083333333335,5.0374985397396115
2002-06-01,24.895,21.13533333333333,5.053472043750676
2002-07-01,28.197,21.22725,5.180149350690044
2002-08-01,28.157,21.219833333333334,5.169238942283882
2002-09-01,27.246,21.243416666666665,5.198386033766687
2002-10-01,24.016,21.278166666666667,5.216924779169726
2002-11-01,20.899,21.374416666666665,5.19666218851246
2002-12-01,16.347,21.456166666666665,5.1003736731793055
2003-01-01,16.085,21.680000000000003,4.7623734342523685
2003-02-01,13.814,21.502750000000002,5.027587820760022
2003-03-01,15.157,21.307916666666667,5.237921125761337
2003-04-01,18.846,21.298750000000002,5.242505544714624
2003-05-01,23.266,21.410416666666666,5.271272960944807
2003-06-01,25.533,21.463583333333332,5.312668880025164
2003-07-01,27.227,21.38275,5.207238146430055
2003-08-01,27.841,21.356416666666664,5.170535658171617
2003-09-01,26.285,21.276333333333334,5.07763017976144
2003-10-01,23.98,21.273333333333333,5.075874691005268
2003-11-01,20.731,21.259333333333334,5.077232519848388
2003-12-01,15.892,21.221416666666666,5.118781699128542
2004-01-01,13.955,21.043916666666668,5.345015918988676
2004-02-01,15.055,21.147333333333332,5.202518923705621
2004-03-01,17.338,21.329083333333333,5.008708460967723
2004-04-01,18.936,21.336583333333333,5.004718091385606
2004-05-01,21.635,21.200666666666667,4.9695798127358275
2004-06-01,24.368,21.103583333333333,4.8879605797088646
2004-07-01,27.156,21.09766666666667,4.879910959197607
2004-08-01,27.301,21.052666666666667,4.81412071332078
2004-09-01,25.897,21.020333333333333,4.776943190202723
2004-10-01,24.121,21.032083333333333,4.785051523581879
2004-11-01,20.858,21.042666666666666,4.784465474720014
2004-12-01,16.15,21.06416666666667,4.759731482749706
2005-01-01,14.989,21.150333333333332,4.626836585387334
2005-02-01,14.617,21.113833333333336,4.680706567356782
2005-03-01,17.123,21.095916666666664,4.696857120522828
2005-04-01,18.904000000000003,21.093249999999998,4.698203798455119
2005-05-01,21.842,21.1105,4.70075304412156
